ISBN,상품명,저자,출판사,분야,권수,누적권수
9791172108977.0,일 잘하는 사람들이  보이지 않는 곳에서 반드시 하는 것,아다치 유야,동양북스,경제/경영,1.0,71.0
9791161509372.0,일본어 동사 활용 쓰기 노트,김수경,시원스쿨닷컴,외국어,1.0,72.0
9791187694311.0,치즈 테이스팅 노트(Cheese Tasting Note),김은주,미니멈,요리,1.0,73.0
9791130662480.0,닐스 비크의 마지막 하루,프로데 그뤼텐,다산책방,소설,1.0,74.0
9791171713363.0,마음 그리운 날엔 분홍 소시지,집밥 둘리 박지연,위즈덤하우스,시/에세이,1.0,75.0
9791164052936.0,우리는 어떻게 움직이는가,로이 밀스,해나무,과학,1.0,76.0
9791130653129.0,내 안의 나,키드 투생,다산어린이,청소년,1.0,77.0
9791191443332.0,누가 그렸을까? 제목이 뭘까?,WG Contents Group,북핀,예술/대중문화,1.0,78.0
9791171712915.0,매일의 영감 수집,서은아,위즈덤하우스,자기계발,1.0,79.0
9791198727879.0,근육운동 가이드: 여성 보디웨이트,프레데릭 데라비에 외,삼호북스,건강,1.0,80.0
9791189909796.0,고객이 스스로 찾아오는 브랜드 검색 마케팅,타베 마사키,책만,경제/경영,1.0,81.0
9791168623149.0,오늘은 집에서 쉽게 튀김 요리,곤도 후미오,시그마북스,요리,1.0,82.0
9791130662596.0,시간의 계곡,스콧 알렉산더 하워드,다산책방,소설,1.0,83.0
9791130653136.0,나라는 세계,키드 투생,다산어린이,청소년,1.0,84.0
9791160029239.0,당뇨에 대해 가장 알고 싶은 최다질문 TOP 82,김지은,초록북스,건강,1.0,85.0
9788998043346.0,짐노페디,이언옥,안목,예술/대중문화,1.0,86.0
9791198936318.0,50대를 위한 시작하는 습관,고바야시 히로유키,레몬한스푼,자기계발,1.0,87.0
3904000506951.0,롤링스톤 코리아 스페셜이슈 13호 : 민규,롤링스톤즈코리아 편집부,롤링스톤즈코리아,잡지,1.0,88.0
9791173320408.0,26살에 1억을 모았습니다,김알밥,김영사,경제/경영,1.0,89.0
9791193712795.0,키친 가든 & 라이프,박현신,한스미디어,요리,1.0,90.0
9791141601638.0,"설자은, 불꽃을 쫓다",정세랑,문학동네,소설,2.0,92.0
9791170403203.0,심장보다 단단한 토마토 한 알,고선경,열림원,시/에세이,1.0,93.0
9791191900163.0,백두 영웅 전설 1: 영웅 흰달,임정자,놀궁리,청소년,1.0,94.0
9791170266945.0,"마흔부터, 인생은 근력입니다",최윤미,그로우웨일,건강,1.0,95.0
9791167501196.0,지옥의 메커니컬 기타 트레이닝 20주년 기념판! 스파르타 베스트편,코바야시 신이치,SRMUSIC,예술/대중문화,1.0,96.0
9791189352875.0,내 인생을 바꾼 하루 한 장,이대호,위너스북,자기계발,2.0,98.0
3904000506753.0,롤링스톤 코리아 스페셜이슈 12호 : 이승윤(2025년 02월호),롤링스톤즈코리아 편집부,롤링스톤즈코리아,잡지,1.0,99.0
9791168272620.0,리더는 무엇을 하는 사람인가,문성후,카시오페아,경제/경영,1.0,100.0
9791191994346.0,5분 완성 완밥 유아식,이정은,용감한 까치,요리,1.0,101.0
9791141608774.0,킬리만자로의 눈,어니스트 헤밍웨이,문학동네,소설,1.0,102.0
9791199017603.0,낯선 사람,김은지,이름서재,시/에세이,1.0,103.0
9788954452304.0,이제 막 스케치를 시작했을 뿐이야!,정정혜,자음과모음,청소년,1.0,104.0
9791192924212.0,오페라 VS 뮤지컬,임윤전,제이앤제이제이(디지털북스),예술/대중문화,1.0,105.0
9791158513061.0,강한 사람은 조용히 일하고 소리 없이 이긴다,제시카 천,토네이도,자기계발,1.0,106.0
3904000506821.0,데이즈드 앤 컨퓨즈드(2025년 02월호)(A형),렉스트림 편집부,렉스트림,잡지,1.0,107.0
9791193712863.0,생성형 AI가 처음인 어른들을 위한 가장 쉬운 책,김재필,한스미디어,경제/경영,1.0,108.0
9791158792305.0,파선: 뱃님 오시는 날,요시무라 아키라,북로드,소설,1.0,109.0
9791188806607.0,정원의 순간,이동협,목수책방,시/에세이,1.0,110.0
9788954452311.0,내일이면 다시 태어나는 거야,문이소 외,자음과모음,청소년,1.0,111.0
3904000506838.0,데이즈드 앤 컨퓨즈드(2025년 02월호)(B형),렉스트림 편집부,렉스트림,잡지,1.0,112.0
9791171179565.0,정영진의 시대유감,정영진,21세기북스,인문,2.0,114.0
9791193063750.0,그래서 브랜딩이 필요합니다,전우성,북스톤,경제/경영,1.0,115.0
9791159924309.0,밤의 몽상가들,뤼도빅 에스캉드,알마,소설,1.0,116.0
9791171179695.0,뭐가 됐든 행복하면 됐지,차성진,아르테(arte),시/에세이,1.0,117.0
9791161729848.0,"가끔은, 비건",정민지,풀빛,청소년,1.0,118.0
9791168030954.0,"내 이름은 김삼순(1, 2권 + 북케이스)",김도우,북로그컴퍼니,예술/대중문화,1.0,119.0
3904000506845.0,데이즈드 앤 컨퓨즈드(2025년 02월호)(C형),렉스트림 편집부,렉스트림,잡지,1.0,120.0
9791140712090.0,월급쟁이 재테크 상식사전,우용표,길벗,경제/경영,1.0,121.0
9791166834059.0,파랑이 일고,임은희,앤드(&),소설,1.0,122.0
9791194530015.0,서울대 수시 합격 족보,한정윤,포레스트북스,청소년,1.0,123.0
9788901291703.0,"우연히, 웨스 앤더슨: 어드벤처",월리 코발 외,웅진지식하우스,예술/대중문화,1.0,124.0
3904000506852.0,데이즈드 앤 컨퓨즈드(2025년 02월호)(D형),렉스트림 편집부,렉스트림,잡지,1.0,125.0
9791193239193.0,프로텍터십,이주호,세이코리아,경제/경영,2.0,127.0
9791167375209.0,태양제도,다와다 요코,은행나무,소설,1.0,128.0
9788964947333.0,읽자마자 보이는 세계지리 사전,이찬희,보누스,청소년,1.0,129.0
9791193712832.0,신화와 전설 배색 아이디어 사전,사쿠라이 테루코,한스미디어,예술/대중문화,1.0,130.0
3904000506869.0,데이즈드 앤 컨퓨즈드(2025년 02월호)(E형),렉스트림 편집부,렉스트림,잡지,1.0,131.0
9791168342569.0,너의 유토피아,정보라,래빗홀,소설,2.0,133.0
9791171740314.0,한 번만 읽으면 여한이 없을 한비자,김영수,창해,인문,1.0,134.0
9791171713127.0,카산드라의 여자들,그웬 E. 커비,위즈덤하우스,소설,1.0,135.0
9791161111384.0,블루 베이컨,야닉 에넬,뮤진트리,예술/대중문화,1.0,136.0
9791173320392.0,인구는 내 미래를 어떻게 바꾸는가,조영태,김영사,청소년,1.0,137.0
9791171011292.0,나의 첫 글쓰기 수업,진은진,사람in,인문,1.0,138.0
9791172590062.0,태연한 거짓말 1,김언희,파란미디어,소설,1.0,139.0
9788937470295.0,위로하는 예술가,빈센트 반 고흐,민음사,인문,1.0,140.0
9791172590079.0,태연한 거짓말 2,김언희,파란미디어,소설,1.0,141.0
