ISBN,상품명,저자,출판사,분야,권수,누적권수
9791130642574,작은 땅의 야수들 - 2024 톨스토이 문학상 수상작,"김주혜 (지은이), 박소현 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,1,30
9791130662480,닐스 비크의 마지막 하루 - 2023 브라게문학상 수상작,"프로데 그뤼텐 (지은이), 손화수 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>북유럽소설,3,33
9791130698199,맡겨진 소녀,"클레어 키건 (지은이), 허진 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,1,34
9791130658704,정년이 대본집 세트 (대본집 1~2권 + 코멘터리 북) - 전3권,최효비 (지은이),다산책방,국내도서>예술/대중문화>영화/드라마>시나리오/시나리오작법,1,35
9791130658018,비 그친 오후의 헌책방 2,"야기사와 사토시 (지은이), 이소담 (옮긴이)",다산책방,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,36
9791130649672,흐르는 강물처럼,"셸리 리드 (지은이), 김보람 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,1,37
9791130655925,우연은 비켜 가지 않는다,"줄리언 반스 (지은이), 정영목 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,4,41
9791130660929,범죄 청소부 마담 B,"상드린 데통브 (지은이), 김희진 (옮긴이)",다산책방,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,2,43
9791130654621,푸른 들판을 걷다,"클레어 키건 (지은이), 허진 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,1,44
9791130658629,대리전,듀나 (지은이),다산책방,국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,1,45
9791130605210,오베라는 남자,"프레드릭 배크만 (지은이), 최민우 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>북유럽소설,1,46
9791130695723,열다섯에 곰이라니,추정경 (지은이),다산책방,국내도서>청소년>청소년 문학>청소년 소설,2,48
9791130653891,비 그친 오후의 헌책방,"야기사와 사토시 (지은이), 서혜영 (옮긴이)",다산책방,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,1,49
9788963708386,예감은 틀리지 않는다,"줄리언 반스 (지은이), 최세희 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,4,53
9791130671062,네보의 푸른 책,"마논 스테판 로스 (지은이), 강나은 (옮긴이)",다산책방,국내도서>청소년>청소년 문학>청소년 소설,3,56
,[세트] 맡겨진 소녀 + 이처럼 사소한 것들 - 전2권,"클레어 키건 (지은이), 홍한별, 허진 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,92,148
9791130659350,고양이를 처방해 드립니다 2,"이시다 쇼 (지은이), 박정임 (옮긴이)",다산책방,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,1,149
9791130677767,일만 번의 다이빙 (우리들 에디션),이송현 (지은이),다산책방,국내도서>청소년>청소년 문학>청소년 소설,2,151
9791130662954,세 개의 적,박해울 (지은이),다산책방,국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,1,152
9791198758316,지금 당장 양자컴퓨터에 투자하라 - AI를 넘어설 퀀텀 혁명,권중현(가을바람) (지은이),애덤스미스,국내도서>경제경영>재테크/투자>재테크/투자 일반,2,154
9791193823279,"2025 박미진 컴퓨터일반 기출문제집 - 전산직,계리직",박미진 (지은이),"포러스(구, 비전에듀테인)",국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>직군별 문제집>전산직,1,155
9791162243091,혼자 공부하는 컴퓨터 구조 + 운영체제 - 1:1 과외하듯 배우는 컴퓨터공학 자습서,강민철 (지은이),한빛미디어,국내도서>컴퓨터/모바일>컴퓨터 공학>네트워크/데이터 통신,1,156
9791169213370,모두를 위한 양자 컴퓨터 - 누구나 쉽게 이해하는 양자 컴퓨터 원리부터 활용까지,"윌리엄 헐리, 플로이드 스미스 (지은이), 류정원 (옮긴이)",한빛미디어,국내도서>컴퓨터/모바일>컴퓨터 공학>컴퓨터공학/전산학 개론,1,157
9791198954800,2025 김진수 컴퓨터일반 계리직 - 기초부터 심화.응용까지 단계별로 학습하는,"김진수, 이정숙 (지은이)",피앤피에듀,국내도서>수험서/자격증>공무원 수험서>기능직>계리직,1,158
9788931476712,2025 이기적 컴퓨터그래픽기능사 실기 기본서 - 변경 출제기준 100% 반영 + 동영상 강의 무료 + 구매인증 자료 제공,"김경수, 김다인 (지은이)",영진.com(영진닷컴),국내도서>컴퓨터/모바일>활용능력>컴퓨터그래픽,1,159
9788934955177,양자컴퓨터의 미래 - 양자컴퓨터 혁명은 세상을 어떻게 바꿀 것인가,"미치오 카쿠 (지은이), 박병철 (옮긴이)",김영사,국내도서>과학>기초과학/교양과학,1,160
9791138380775,2025 시대에듀 무료 동영상이 있는 Win-Q 컴퓨터응용선반·밀링기능사 필기 단기합격 - 10년간 빈출문제로 한번에 끝내기!,박병욱 (지은이),시대에듀(시대고시기획),국내도서>수험서/자격증>국가기술자격>기계제작>컴퓨터응용,1,161
9791169671590,2025 컴퓨터그래픽기능사(컴퓨터그래픽스운용기능사) 필기 최근7년간 기출문제,구홍림 (지은이),책과상상,국내도서>컴퓨터/모바일>활용능력>컴퓨터그래픽,1,162
9789813350212,컴퓨터 네트워킹 하향식 접근 - 제8판,"James F. Kurose, Keith W. Ross (지은이), 최종원 (옮긴이)",퍼스트북,국내도서>대학교재/전문서적>공학계열>컴퓨터공학>네트워크,1,163
9791172444037,"2025 해커스공무원 곽후근 컴퓨터일반 단원별 기출문제집 (전산직 공무원) - 전산직, 계리직, 군무원, 소방경채 시험 대비 | 컴퓨터일반 무료 특강 | 합격예측 온라인 모의고사 응시권 제공",곽후근 (지은이),해커스공무원,국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>직군별 문제집>전산직,1,164
9791193823347,컴퓨터일반.정보보호론 핵심테마 (필다나) - 개정 2판,박미진 (지은이),"포러스(구, 비전에듀테인)",국내도서>수험서/자격증>공무원 수험서>7/9급 공무원>직군별 문제집>전산직,2,166
9791140708819,"컴퓨터 밑바닥의 비밀 - 컴퓨터 시스템의 본질을 알면 코드의 실마리가 보인다, 2024 세종도서","루 샤오펑 (지은이), 김진호 (옮긴이)",길벗,국내도서>컴퓨터/모바일>컴퓨터 공학>컴퓨터공학/전산학 개론,1,167
9791189909284,"한 권으로 읽는 컴퓨터 구조와 프로그래밍 - 더 나은 소프트웨어 개발을 위한 하드웨어, 자료구조, 필수 알고리즘 등 프로그래머의 비밀 노트","조너선 스타인하트 (지은이), 오현석 (옮긴이)",책만,국내도서>컴퓨터/모바일>컴퓨터 공학>컴퓨터공학/전산학 개론,1,168
9788979630053,컴퓨터 만세력 - 중 - 1886년~2050년 (165년간),김상연 (엮은이),갑을당,국내도서>종교/역학>역학>사주/궁합/예언,1,169
9788966261437,"컴퓨터 과학이 여는 세계 - 세상을 바꾼 컴퓨터, 소프트웨어의 원천 아이디어 그리고 미래",이광근 (지은이),인사이트,국내도서>컴퓨터/모바일>e비즈니스/창업>디지털 문화,1,170
9788964214244,"컴퓨터 구조 및 설계 - 하드웨어 / 소프트웨어 인터페이스, 6th Edition","데이비드 패터슨, 존 헤네시 (지은이), 김병기, 박명순, 장훈, 하순회 (옮긴이)",한티미디어,국내도서>대학교재/전문서적>공학계열>컴퓨터공학>컴퓨터 구조,1,171
9791192932941,컴퓨터구조론 (김종현) - 개정6판,김종현 (지은이),생능,국내도서>대학교재/전문서적>공학계열>컴퓨터공학>컴퓨터 구조,1,172
9791138383301,2025 시대에듀 Win-Q 컴퓨터응용가공산업기사 필기 단기합격 - 10년간 빈출문제로 한번에 끝내는! 2024년 CBT 최근 기출복원문제 수록! 핵심요약집 빨간키 수록!,홍순규 (지은이),시대에듀(시대고시기획),국내도서>수험서/자격증>국가기술자격>기계제작>컴퓨터응용,1,173
9791198446855,Ⅰ 컴퓨터 구조와 디지털 저장매체 - 2024 신개정판,"천성덕, 이주호 (지은이)",에스엠디자인,국내도서>컴퓨터/모바일>활용능력>신규 자격증/자격증 기타,1,174
9791156646082,쉽게 배우는 데이터 통신과 컴퓨터 네트워크 - 3판,박기현 (지은이),한빛아카데미(교재),국내도서>컴퓨터/모바일>컴퓨터 공학>네트워크/데이터 통신,2,176
9788941250319,[색상랜덤] 새한글성경 NKT72 - 중(中).단본.무색인 - 비닐커버.랩핑,대한성서공회 성경 편집팀 (엮은이),대한성서공회,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한글성경>개역한글판,1,177
9788953726628,[블랙] 개역개정 시그니처 컬러성경 & 새찬송가 - 대(大).합본.색인 - 지퍼.천연우피,아가페 편집부 (지은이),아가페출판사,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한글성경>개역개정판,1,178
9771228436001,고학년 어린이 매일성경 2025.1.2,매일성경 편집부 (지은이),성서유니온선교회(잡지),국내도서>잡지>종교,2,180
9791196335021,조혜련의 잘 보이는 성경이야기,"조혜련 (지은이), 이정준 (그림), 김병국, 이해원 (감수)",오제이엔터스컴,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,181
9771975736010,생명의 삶 2025.2 (우리말성경),생명의삶 편집부 (지은이),두란노(잡지),국내도서>잡지>종교,1,182
9772234637000,큐티아이 매일성경 2025.1.2,매일성경 편집부 (지은이),성서유니온선교회(잡지),국내도서>잡지>종교,2,184
9788941250326,[색상랜덤] 새한글성경 NKT73 - 중(中).단본.무색인 - 하드커버.카나파.랩핑,대한성서공회 성경 편집팀 (엮은이),대한성서공회,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한글성경>개역한글판,1,185
9772287575007,매일성경 묵상과 설교 2025.1.2,매일성경 편집부 (지은이),성서유니온선교회(잡지),국내도서>잡지>종교,2,187
9788941250340,[색상랜덤] 새한글성경 NKT83 - 대(大).단본.무색인 - 하드커버.쉬머.랩핑,대한성서공회 성경 편집팀 (엮은이),대한성서공회,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한글성경>개역한글판,1,188
9791197235481,성경으로 세상 바로보기 - 조평세 박사의,"조평세 (지은이), 이상규 (감수)",홀리원코리아,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,189
