ISBN,상품명,저자,출판사,분야,권수,누적권수
9791130662596,시간의 계곡,"스콧 알렉산더 하워드 (지은이), 김보람 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,17.0,533.0
9788965422785,해커스 토익 기출 VOCA (보카) - 주제별 연상암기로 토익 영단어 30일 완성! RC/LC 필수 토익 보카 [최신 기출 어휘+출제포인트 수록ㅣ단어암기 어플 제공],David Cho (지은이),해커스어학연구소(Hackers),국내도서>외국어>토익>Vocabulary,18.0,551.0
9788954616515,희랍어 시간 - 2024 노벨문학상 수상작가,한강 (지은이),문학동네,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,17.0,568.0
9791168342569,너의 유토피아,정보라 (지은이),래빗홀,국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,17.0,585.0
9791199025622,K민주주의 내란의 끝 - 역사학자 전우용과 앵커 최지은의 대담,"전우용, 최지은 (지은이)",책이라는신화,국내도서>사회과학>비평/칼럼>한국사회비평/칼럼,17.0,602.0
9791191975277,"작심하고 다시, 기자 - 권력의 비리를 감시하고, 추적하고, 고발하는 기자, 장인수의 취재 열전",장인수 (지은이),시월,국내도서>사회과학>언론/미디어>언론인,17.0,619.0
9791194330424,"넥서스 - 석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사","유발 하라리 (지은이), 김명주 (옮긴이)",김영사,국내도서>인문학>문화/문화이론>문명/문명사,17.0,636.0
9788925574394,무의식은 어떻게 나를 설계하는가 - 나를 살리기도 망치기도 하는 머릿속 독재자,"데이비드 이글먼 (지은이), 김승욱 (옮긴이)",알에이치코리아(RHK),국내도서>과학>뇌과학>뇌과학 일반,17.0,653.0
9791158395674,이지패스 2025 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문, 박현민 (지은이)",위키북스,국내도서>컴퓨터/모바일>활용능력>신규 자격증/자격증 기타,17.0,670.0
9791191769944,"결코, 배불리 먹지 말 것 - 성공과 행복을 이루고 싶다면!, 개정판","미즈노 남보쿠 (지은이), 서진 (엮은이)",스노우폭스북스,국내도서>자기계발>성공>성공학,17.0,687.0
9791193383193,일의 감각,조수용 (지은이),B Media Company,국내도서>자기계발>성공>성공학,17.0,704.0
9791193937150,내가 원하는 것을 나도 모를 때,전승환 (지은이),북로망스,국내도서>인문학>교양 인문학,17.0,721.0
9788936439651,대온실 수리 보고서,김금희 (지은이),창비,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1.0,722.0
9791140711970,기록이라는 세계,리니 (지은이),더퀘스트,국내도서>자기계발>시간관리/정보관리>정보관리,1.0,723.0
9791194156116,AI 시대 생존 전략 - 구글 AI 엔지니어가 공개한 AI 활용 비법,"세가 쳉 (지은이), 홍민경 (옮긴이), 샤오위핀 (정리)",더페이지,국내도서>자기계발>성공>성공학,1.0,724.0
9788960306431,"미국 주식 투자의 정석 - 6,000만 뷰 유튜버 '미주은'의 투자 교과서",최철 (지은이),황금부엉이,국내도서>경제경영>재테크/투자>주식/펀드,1.0,725.0
9791198854384,김재우의 기초 영어회화 100 - 원어민처럼 자연스러운 영어 말하기 첫걸음,김재우 (지은이),상상스퀘어,국내도서>외국어>영어회화>생활영어,1.0,726.0
9791197953965,비트코인이 곧 신분이다,도리도리 (지은이),샤샤,국내도서>경제경영>트렌드/미래전망>블록체인/디지털자산,1.0,727.0
9788901289328,무기력 디톡스 - 지친 마음에 시동을 거는 마인드 부스팅 수업,윤대현 (지은이),웅진지식하우스,국내도서>인문학>심리학/정신분석학>교양 심리학,1.0,728.0
9788932924892,내전은 어떻게 일어나는가,"바버라 F. 월터 (지은이), 유강은 (옮긴이)",열린책들,국내도서>사회과학>정치학/외교학/행정학>외교정책/외교학,1.0,729.0
9788936480608,나의 인생만사 답사기 - 유홍준 잡문집,유홍준 (지은이),창비,국내도서>에세이>명사에세이>기타 명사에세이,1.0,730.0
9791172132057,나의 폴라 일지,김금희 (지은이),한겨레출판,국내도서>에세이>한국에세이,1.0,731.0
9788982641626,상식 - 우리는 이러했다,김용옥 (지은이),통나무,국내도서>인문학>문화/문화이론>한국학/한국문화>한국인과 한국문화,1.0,732.0
9791190776752,만화로 보는 3분 철학 1 : 서양 고대 철학편,"김재훈, 서정욱 (지은이)",카시오페아,국내도서>인문학>철학 일반>교양 철학,1.0,733.0
9791169851169,나의 두 번째 교과서 x 나민애의 다시 만난 국어,"나민애 (지은이), EBS 제작팀 (기획)",페이지2(page2),국내도서>인문학>책읽기/글쓰기>글쓰기,1.0,734.0
9791130662480,닐스 비크의 마지막 하루 - 2023 브라게문학상 수상작,"프로데 그뤼텐 (지은이), 손화수 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>북유럽소설,1.0,735.0
9791198987600,트럼프 2.0 시대 - 글로벌 대격변이 시작된다,박종훈 (지은이),글로퍼스,국내도서>경제경영>경제학/경제일반>경제사/경제전망>세계 경제사/경제전망,1.0,736.0
9791194280491,헌법 필사 (스프링) - 일생에 한 번 헌법을 필사하라,대한민국 (지은이),더휴먼,국내도서>사회과학>법과 생활>헌법,1.0,737.0
9791130655925,우연은 비켜 가지 않는다,"줄리언 반스 (지은이), 정영목 (옮긴이)",다산책방,국내도서>소설/시/희곡>영미소설,1.0,738.0
9791198889508,어른의 어휘 일력 365 (스프링) - 글에 품격을 높이고 말에 우아함을 더해주는,"서선행, 이은정 (지은이)",윌마,국내도서>인문학>교양 인문학,1.0,739.0
9791191998375,나라를 위해서 일한다는 거짓말 - 한국 공직사회는 왜 그토록 무능해졌는가,노한동 (지은이),사이드웨이,국내도서>사회과학>비평/칼럼>정치비평/칼럼,1.0,740.0
9788931513073,"2025 찐합격 7개년 과년도 소방설비기사 필기 (전기①-7) - 초스피드 기억법, 7개년 과년도, 최근 개정법령 반영, 100% 상세한 해설, 해설가리개 제공",공하성 (지은이),성안당,국내도서>수험서/자격증>국가기술자격>안전관리>소방설비기사,1.0,741.0
9791141601706,다만 여행자가 될 수 있다면,박완서 (지은이),문학동네,국내도서>에세이>한국에세이,1.0,742.0
9791169813419,어떤 어른,김소영 (지은이),사계절,국내도서>에세이>한국에세이,1.0,743.0
9791194140030,나무,"고다 아야 (지은이), 차주연 (옮긴이)",책사람집,국내도서>에세이>외국에세이,1.0,744.0
9791197903007,고발,반디 (지은이),리베르타스,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1.0,745.0
9791141601300,이중 하나는 거짓말 (니트 에디션) (3종 중 1종 랜덤),김애란 (지은이),문학동네,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,1.0,746.0
9788954697941,두 사람의 인터내셔널,김기태 (지은이),문학동네,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,2.0,748.0
9788984078574,유물멍 : 가만히 바라볼수록 좋은 것들,국립중앙박물관 유물 큐레이션 「아침 행복이 똑똑」 필진 (지은이),세종(세종서적),국내도서>예술/대중문화>미술>미술관/박물관/미술기행,1.0,749.0
9791198389855,2026 설보연 SANTA 교육학 2 - 2026학년도 중등임용시험 대비 최신개정판 | 2022 개정 교육과정 반영,설보연 (지은이),계획된우연,국내도서>수험서/자격증>공무원 수험서>교원임용시험>교육학,1.0,750.0
9791199075139,지금 거신 전화는 대본집 세트 - 전2권,김지운 (지은이),Birdbox,국내도서>예술/대중문화>영화/드라마>시나리오/시나리오작법,1.0,751.0
9791165219956,일본어 무작정 따라하기 완전판,후지이 아사리 (지은이),길벗이지톡,국내도서>외국어>일본어>일본어 첫걸음,2.0,753.0
9788901290713,살아 있는 자들을 위한 죽음 수업 - 한 법의학자가 수천의 인생을 마주하며 깨달은 삶의 철학,이호 (지은이),웅진지식하우스,국내도서>인문학>인문 에세이,1.0,754.0
9791192300818,마흔에 읽는 쇼펜하우어 - 마음의 위기를 다스리는 철학 수업,강용수 (지은이),유노북스,국내도서>인문학>서양철학>근대철학>쇼펜하우어,2.0,756.0
9791199059078,양심 - 호모심비우스,"최재천, 팀최마존 (지은이)",더클래스,국내도서>에세이>명사에세이>기타 명사에세이,1.0,757.0
9791193780084,나는 미국 월배당 ETF로 40대에 은퇴한다 - 7천만 원으로 월 2백만 원 받는 연 30% 이상 초고배당의 비밀,최영민 (지은이),지음미디어,국내도서>경제경영>재테크/투자>주식/펀드,1.0,758.0
9788967215552,DAY6 가사 필사집 - DAY6(데이식스) 곡 모음,삼호ETM 편집부 (엮은이),삼호ETM,국내도서>예술/대중문화>음악>악보/작곡>팝/가요/뉴에이지,1.0,759.0
9788965961956,숨결이 바람 될 때 (100쇄 기념 리미티드 에디션) - 서른여섯 젊은 의사의 마지막 순간,"폴 칼라니티 (지은이), 이종인 (옮긴이)",흐름출판,국내도서>에세이>외국에세이,1.0,760.0
