ISBN,상품명,저자,출판사,분야,권수,누적권수
9791190582285,행복은 이어달리기 :마스다 미리 그림에세이 ,지은이: 마스다 미리 ;옮긴이: 오연정,이봄,일본문학 및 기타 아시아 제문학,2,95
9788984319097,딸에게 주는 레시피 :공지영 에세이 ,지은이: 공지영 ;그린이: 이장미,한겨레출판,한국문학,2,97
9788954670517,그레구아르와 책방 할아버지 :마르크 로제 장편소설 ,지은이: 마르크 로제 ;옮긴이: 윤미연,문학동네,프랑스 문학,2,99
9788954617710,모방범 :미야베 미유키 장편소설,지은이: 미야베 미유키 ;옮긴이: 양억관,문학동네,일본문학 및 기타 아시아 제문학,2,101
9788954427159,지구에서 한아뿐 :친환경 SF 러브 로망 ,지은이: 정세랑,자음과모음,한국문학,2,103
9788952235268,편의점 인간 ,무라타 사야카 지음 ;김석희 옮김,살림,일본문학 및 기타 아시아 제문학,2,105
9788950983031,"벌새 =1994년, 닫히지 않은 기억의 기록 /House of hummingbird ",김보라 쓰고 엮음 ;앨리슨 벡델 [지음],Arte(아르테),한국문학,2,107
9788936434151,계속해보겠습니다 :황정은 장편소설 ,지은이: 황정은,창비,한국문학,2,109
9788932923055,선더헤드 :닐 셔스터먼 장편소설 ,지은이: 닐 셔스터먼 ;옮긴이: 이수현,열린책들,영미문학,2,111
9791190403535,아침을 먹다가 생각한 것들 ,지은이: 이다혜,세미콜론,한국문학,2,113
9791190630009,잠옷을 입으렴 :이도우 장편소설 ,지은이: 이도우,위즈덤하우스 미디어그룹,한국문학,2,115
9791196347048,뉴서울파크 젤리장수 대학살 :조예은 장편소설 ,지은이: 조예은,안전가옥,한국문학,2,117
9788934935360,식객,허영만 글·그림,김영사,한국문학,2,119
9788934930471,식객,허영만 글·그림,김영사,한국문학,2,121
9788932018041,침이 고인다:김애란 소설집,김애란,문학과지성사,한국문학,2,123
9788932920337,기억 :베르나르 베르베르 장편소설 ,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,프랑스 문학,2,125
9788937426162,고독한 밤에 호루라기를 불어라 :이응준 산문집 ,지은이: 이응준,민음사,한국문학,2,127
9788937479779,겨울 방학 :최진영 소설 ,지은이: 최진영,민음사,한국문학,2,129
9788954636858,최선의 삶 :임솔아 장편소설 ,지은이: 임솔아,문학동네,한국문학,2,131
9791196814304,너에게만 좋은 사람이 되고 싶어 :유귀선 에세이 ,지은이: 유귀선 ;그린이: 다다,Studio:odr(스튜디오오드리),한국문학,2,133
9791130646350,지켜야 할 세계 :문경민 장편소설 ,지은이: 문경민,다산북스,한국문학,2,135
9791190749527,인생 박물관 :김동식 소설 ,지은이: 김동식,요다,한국문학,2,137
9791191859546,너무 보고플 땐 눈이 온다 :고명재 산문 ,지은이: 고명재,난다,한국문학,2,139
9791192579450,나와 너의 365일 :유이하 장편소설 ,지은이: 유이하 ;옮긴이: 김지연,바이포엠 스튜디오,일본문학 및 기타 아시아 제문학,2,141
9791160409932,별일은 없고요? :이주란 소설집 ,지은이: 이주란,한겨레엔,한국문학,2,143
9791160404715,녹즙 배달원 강정민 :김현진 장편소설 ,지은이: 김현진,한겨레출판,한국문학,2,145
9791161571492,우리가 겨울을 지나온 방식 :문미순 장편소설 ,지은이: 문미순,나무옆의자,한국문학,2,147
9791160403930,"엄마는 되지 않기로 했습니다 :아이 없이 살기로 한 딩크 여성 18명의 고민과 관계, 그리고 행복 ",최지은 지음,한겨레출판,한국문학,2,149
9788984370753,구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,프랑스 문학,2,151
9788954624527,중국행 슬로보트 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,일본문학 및 기타 아시아 제문학,2,153
9788957090343,더 리더 :책 읽어주는 남자 ,베른하르트 슐링크 지음 ;김재혁 옮김,이레,독일문학,2,155
9788934982968,미등록자 ,지은이: 히가시노 게이고 ;옮긴이: 민경욱,김영사,일본문학 및 기타 아시아 제문학,2,157
9788983921970,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,영미문학,2,159
9788954658263,허구의 삶 :이금이 장편소설 ,지은이: 이금이,문학동네,한국문학,2,161
9788954650168,당신의 별이 사라지던 밤 :서미애 장편소설 ,지은이: 서미애,문학동네,한국문학,2,163
9788932922379,행성 :베르나르 베르베르 장편소설 ,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,프랑스 문학,2,165
9791165794156,구원의 날 :정해연 장편소설 ,지은이: 정해연,시공사,한국문학,2,167
9791189709815,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우",위즈덤하우스,한국문학,2,169
9791190174671,"땡스 갓, 잇츠 프라이데이 ",지은이: 심너울,안전가옥,한국문학,2,171
9791196075170,운다고 달라지는 일은 아무것도 없겠지만 :박준 산문 ,지은이: 박준,난다,한국문학,2,173
9791190786867,나는 말하듯이 쓴다 :강원국의 말 잘하고 글 잘 쓰는 법 ,강원국 지음,위즈덤하우스,문학,2,175
9791190157278,꼭두각시 살인사건 :다니엘 콜 장편소설 ,저자: 다니엘 콜 ;옮긴이: 유혜인,Book Plaza(북플라자),영미문학,2,177
9788972751496,유성의 인연 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,일본문학 및 기타 아시아 제문학,2,179
9791189982140,"진이, 지니 :정유정 장편소설 ",지은이: 정유정,은행나무,한국문학,2,181
9791189279219,150년 하버드 글쓰기 비법 :SNS부터 보고서까지 이 공식 하나면 끝 ,송숙희 지음,유노북스,문학,2,183
9791159099694,내가 죽인 남자가 돌아왔다 ,황세연 지음,교보문고,한국문학,2,185
9791158883843,시녀 이야기 ,지은이: 마거릿 애트우드 ;옮긴이: 김선형,황금가지,영미문학,2,187
9788972773276,하버드 100년 전통 말하기 수업 =인생을 바꾸는 말하기 불변의 법칙 /Harvard speaking class ,류리나 지음 ;이에스더 옮김,리드리드출판,문학,2,189
9788952227829,미 비포 유 ,조조 모예스 지음 ;김선형 옮김,살림,영미문학,2,191
9788937460470,호밀밭의 파수꾼,제롬 데이비드 샐린저 지음;공경희 옮김,민음사,영미문학,2,193
9788937460616,설국,가와바타 야스나리 지음;유숙자 옮김,민음사,일본문학 및 기타 아시아 제문학,2,195
9788954694131,사랑을 담아 ,에이미 블룸 지음 ;신혜빈 옮김,문학동네,영미문학,2,197
9788983925312,해리포터 :마법사의 돌 ,J.K. 롤링 지음 ;김혜원 옮김,문학수첩,영미문학,2,199
9788984373617,아가씨와 밤 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,프랑스 문학,2,201
9788997092772,말의 품격 :말과 사람과 품격에 대한 생각들 ,이기주 지음,황소북스,한국문학,2,203
9791163165026,행복배틀 :주영하 미스터리 스릴러 ,지은이: 주영하,고즈넉이엔티,한국문학,2,205
9788954695978,"설자은, 금성으로 돌아오다 :정세랑 장편소설 ",지은이: 정세랑,문학동네,한국문학,2,207
9791168122253,요즘 사는 맛 :먹고 사는 일에 누구보다 진심인 작가들의 일상 속 음식 이야기 ,"지은이: 김겨울,핫펠트",위즈덤하우스,한국문학,2,209
9788993928181,끌림 :travel notes ,지은이: 이병률,달,한국문학,2,211
9788967997458,(흥미로운 사연을 찾는) 무지개 무인 사진관 :김재희 장편소설 ,지은이: 김재희,Bookocean(북오션),한국문학,2,213
9788973374939,눈먼 자들의 도시,주제 사라마구 지음;정영목 옮김,해냄출판사,스페인 및 포르투갈 문학,2,215
9791162202470,브릿지 :강풀액션만화 시즌II ,지은이: 강풀,위즈덤하우스,한국문학,2,217
9791191248913,사라진 소녀들의 숲 :허주은 장편소설 ,지은이: 허주은 ;옮긴이: 유혜인,M창비(미디어창비),영미문학,2,219
9791190582278,나답게 살고 있습니다 :수짱의 인생 ,마스다 미리 만화 ;박정임 옮김,이봄,일본문학 및 기타 아시아 제문학,2,221
9791196199807,서른의 반격 :손원평 장편소설 ,지은이: 손원평,은행나무,한국문학,2,223
9788954699808,믿음에 대하여 :박상영 연작소설 ,지은이: 박상영,문학동네,한국문학,2,225
9788992783613,지지 않는다는 말 :김연수 산문집 ,지은이: 김연수,마음의숲,한국문학,2,227
9788983924490,스코치 트라이얼 ,제임스 대시너 지음 ;공보경 옮김,문학수첩,영미문학,2,229
9788975276385,리스본행 야간열차 ,파스칼 메르시어 지음 ;전은경 옮김,들녘,독일문학,2,231
9788973818693,사랑 후에 오는 것들,지은이: 공지영,소담출판사,한국문학,2,233
9788954609647,너는 모른다 :정이현 장편소설 ,지은이: 정이현,문학동네,한국문학,2,235
9788952231833,허니문 인 파리 :파리에 가면 사랑이 이루어질지도 몰라 ,조조 모예스 지음 ;이정임 옮김,살림,영미문학,2,237
9788937460777,1984,조지 오웰 지음;정회성 옮김,민음사,영미문학,2,239
9788972971252,"(창작자를 위한) 픽사 스토리텔링 :아이디어부터 결말까지, 픽사로 배우는 완벽한 스토리 만드는 법 ",딘 모브쇼비츠 지음 ;김경영 옮김,동녘,문학,2,241
9791187206422,저주토끼 :정보라 소설집 ,지은이: 정보라,아작,한국문학,2,243
9791191043709,누구에게도 상처받을 필요는 없다 ,지민석 지음,바이포엠 스튜디오,한국문학,2,245
9788959139668,시 읽는 밤 :시밤 ,지은이: 하상욱,위즈덤하우스,한국문학,2,247
9788952224330,비정근 ,히가시노 게이고 지음 ;김소영 옮김,살림출판사,일본문학 및 기타 아시아 제문학,2,249
9788937460449,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,독일문학,2,251
9788934975168,리버스 ,지은이: 미나토 가나에 ;옮긴이: 김선영,비채,일본문학 및 기타 아시아 제문학,2,253
9788932915371,웃음 :베르나르 베르베르 장편소설,지은이: 베르나르 베르베르 ;옮긴이: 이세욱,열린책들,프랑스 문학,2,255
9788901091556,참 서툰 사람들 :always bright! smile again! ,지은이: 박광수,웅진씽크빅,한국문학,2,257
9791156160847,그래도 괜찮아 ,글·사진: 우근철,리스컴,한국문학,2,259
9791192097589,우리에겐 더 많은 돈이 필요하다 :더 나은 삶을 꿈꾸는 당신을 위한 야망 독려 에세이 ,"지은이: 토스 기획,조미라",Whale Books(웨일북),한국문학,2,261
9791163164883,청년 주부 구운몽 :강선우 장편소설 ,지은이: 강선우,고즈넉이엔티,한국문학,2,263
9791195260270,고양이를 잡아먹은 오리 :김근우 장편소설 ,지은이: 김근우,나무옆의자,한국문학,2,265
9788992729802,악의 교전 =Lesson of the evil,기시 유스케 지음 ;한성례 옮김,느낌이 있는 책,일본문학 및 기타 아시아 제문학,2,267
9788983923394,로스트 심벌,댄 브라운 지음 ;안종설 옮김,문학수첩,영미문학,2,269
9788971848517,카모메 식당 ,무레 요코 지음 ;권남희 옮김,푸른숲,일본문학 및 기타 아시아 제문학,2,271
9788961962360,파리 로망스 =우리는 왜 헤어졌을까? /Paris romance ,글·사진: 이동섭,아트북스,한국문학,2,273
9788959196111,치에코 씨의 소소한 행복 :마스다 미리 만화 ,지은이: 마스다 미리 ;옮긴이: 조은하,애니북스,일본문학 및 기타 아시아 제문학,2,275
9788956604237,꿈의 도시 :오쿠다 히데오 장편소설 ,지은이: 오쿠다 히데오 ;옮긴이: 양윤옥,은행나무,일본문학 및 기타 아시아 제문학,2,277
